Year,Week_Number,mean_return,volatility
2000,01,-1.0378,1.7720215009982243
2000,02,0.3638,1.106168703227496
2000,03,-0.9675,1.4915997005452455
2000,04,-0.8623999999999998,1.8787286392664588
2000,05,-0.5102,1.542850511229134
2000,06,-0.032400000000000165,2.9171676845872265
2000,07,-0.12320000000000002,1.551349799368279
2000,08,0.013249999999999984,1.8678157252077447
2000,09,1.1754,0.9412275495330553
2000,10,0.14419999999999994,2.178026790468841
2000,11,0.23680000000000012,3.5536431587878936
2000,12,0.7962,0.9785160703841302
2000,13,-0.5262,1.955971165431638
2000,14,0.18680000000000002,0.9896518074555313
2000,15,-1.793,2.6877223628939055
2000,16,1.06575,0.9116429765355881
2000,17,0.019399999999999994,2.2101163544030893
2000,18,-0.636,1.5077763428307263
2000,19,0.010199999999999987,1.5772395823082808
2000,20,-1.1394,1.0946713205341592
2000,21,0.758,0.8256654891661636
2000,22,1.49025,1.9117826541389757
2000,23,-0.5714,1.0871063885379388
2000,24,0.32619999999999993,0.7910073956670696
2000,25,-0.384,0.9477750260478486
2000,26,0.07460000000000004,1.5390822914971116
2000,27,0.827,2.450013197243367
2000,28,-0.4436,0.6965039841953526
2000,29,-0.0508,1.854565097266742
2000,30,-0.06179999999999999,0.8318937432148411
2000,31,0.13440000000000002,1.10300874883203
2000,32,0.06959999999999997,1.1332189991347656
2000,33,0.3846,0.6860716434892205
2000,34,-0.258,0.9520995221089023
2000,35,0.4112,1.7170719845131712
2000,36,-1.339,0.9773528874806001
2000,37,-0.9176,0.690555066594982
2000,38,0.5174000000000001,1.845825235497662
2000,39,0.2866,1.0495395657144138
2000,40,-0.35,0.744466587564546
2000,41,-0.21200000000000002,0.7497789674297353
2000,42,-0.04459999999999997,2.6403856347132324
2000,43,0.7276,1.98793820326488
2000,44,0.15779999999999994,2.1701676663336404
2000,45,-0.6910000000000001,1.6231812899365248
2000,46,0.22540000000000004,1.6968763360952384
2000,47,-0.89325,1.1882192207949955
2000,48,0.17279999999999995,2.5760105201648535
2000,49,0.5074,0.6558317619633864
2000,50,0.0928,2.3418505930139952
2000,51,-0.1922,0.6713197449799909
2000,52,0.276,1.4786525397581858
2001,00,0.10499999999999998,2.0877437582232163
2001,01,-0.13720000000000002,1.1075496377138137
2001,02,-0.08350000000000002,1.2156042393257218
2001,03,0.0030000000000000027,0.8714120724433417
2001,04,0.139,0.7174273482381335
2001,05,-0.4332,0.6991170860449629
2001,06,-0.3096,1.1687344865280564
2001,07,-0.4387500000000001,1.3198339226331977
2001,08,0.14620000000000002,0.7873091514773596
2001,09,-0.054199999999999984,1.1544978129039483
2001,10,-1.467,1.5531640286846717
2001,11,-0.493,1.8489998647917745
2001,12,0.7344,3.3314713416146926
2001,13,0.21940000000000004,3.6784249754480514
2001,14,0.7677499999999999,0.6765783398838598
2001,15,0.31300000000000006,1.4153167490000251
2001,16,0.24379999999999996,0.9228194297911158
2001,17,-0.23500000000000004,2.061533773674349
2001,18,0.0014000000000000123,0.5711285319435547
2001,19,0.19119999999999998,1.6207889128446062
2001,20,-0.34500000000000003,1.1295873140222494
2001,21,-0.45975,0.49261978238799947
2001,22,0.06380000000000004,1.868237324324723
2001,23,-0.29279999999999995,1.2556491149998872
2001,24,-0.24779999999999996,1.110238577964214
2001,25,0.07200000000000002,1.4379483648587665
2001,26,-0.91325,1.0409605740212577
2001,27,0.25399999999999995,1.1177739037927124
2001,28,-0.18900000000000003,1.3244325199873341
2001,29,0.007800000000000029,1.40777935060861
2001,30,0.4638,1.4235184227820867
2001,31,-0.1476,1.3007391360299727
2001,32,-0.3734,1.0817390165839447
2001,33,0.587,0.5869706125522811
2001,34,-0.2212,0.5822093266171541
2001,35,-1.3007499999999999,1.5447004833731792
2001,36,0.0,0.0
2001,37,-2.465,1.988628798946651
2001,38,1.9896,2.3324733224626604
2001,39,0.6082,1.9691188892497071
2001,40,-0.11559999999999993,1.5419097898385625
2001,41,-0.457,1.3910176131163832
2001,42,0.7626000000000001,0.8542533582023545
2001,43,0.06939999999999999,1.8877821113677289
2001,44,0.5058,0.9316277153455667
2001,45,-0.3592,1.0721514351993378
2001,46,-0.266,1.402078694890792
2001,47,-0.11459999999999997,1.56563495106618
2001,48,0.4878,1.3497776483554615
2001,49,-0.5096,1.5810117962874282
2001,50,0.10459999999999998,1.3757400917324463
2001,51,0.69575,0.54673050948342
2001,52,0.273,0.0
2002,00,0.318,0.5879957482839481
2002,01,-0.5434,0.6878123290549538
2002,02,-0.28800000000000003,1.0842559660891886
2002,03,-0.1375,0.9744162354969256
2002,04,0.030799999999999994,0.8176715110605236
2002,05,-0.2084,1.019067367743664
2002,06,0.2718,0.7530648710436573
2002,07,-0.2625,0.8158613035722841
2002,08,0.34640000000000004,1.3417260525159374
2002,09,0.4894,1.0254619934449059
2002,10,0.1388,0.7874793330621446
2002,11,-0.2306,0.49059993885038344
2002,12,0.15800000000000003,1.0229043617725624
2002,13,-0.1016,1.4037483036499099
2002,14,-0.07779999999999998,1.068230639890094
2002,15,0.33560000000000006,1.3581232639197371
2002,16,-0.0388,0.7264407752872907
2002,17,0.27159999999999995,0.6125347337090363
2002,18,-0.1046,0.8556382413146341
2002,19,0.2414,0.27930413530773224
2002,20,-0.2266,0.35813796224360245
2002,21,-0.67625,0.9548376389034245
2002,22,-0.38639999999999997,0.963042989694645
2002,23,-0.8413999999999999,1.1171943877410053
2002,24,-0.40499999999999997,1.6285814379391657
2002,25,0.8718,0.391754004446668
2002,26,-0.14150000000000018,3.8940966004111055
2002,27,-1.404,1.8327224285199326
2002,28,-0.4734000000000001,3.3686078430117092
2002,29,-0.057399999999999896,3.6964064711554654
2002,30,0.23360000000000003,3.8142249933636587
2002,31,0.8452,2.7319823754921995
2002,32,0.08980000000000006,1.8386215488783983
2002,33,0.03360000000000003,2.1390048620795605
2002,34,-0.39840000000000003,1.9906670490064378
2002,35,-0.53725,3.63791106497488
2002,36,-0.6498,1.7017105217985813
2002,37,-0.3114,3.027028955923613
2002,38,-0.12059999999999986,2.753891029071412
2002,39,-0.4081999999999999,2.0732496714095965
2002,40,0.7045999999999999,1.3847264350766182
2002,41,1.0426,3.4702871350941553
2002,42,-0.32939999999999997,1.186262323434408
2002,43,-0.19399999999999992,2.0182570450762705
2002,44,0.51,1.5801023701013805
2002,45,0.26759999999999995,1.9187710389726023
2002,46,0.39480000000000004,1.2104514447097827
2002,47,-0.34275,2.5635946604978983
2002,48,-0.7246,1.016710283217397
2002,49,-0.48819999999999997,0.7787475200602567
2002,50,0.4104000000000001,1.9408345627590209
2002,51,-0.5585,0.7224423852460485
2002,52,1.7494999999999998,2.706097651600917
2003,00,0.7795,0.5267945519839778
2003,01,-0.40040000000000003,1.418707087456745
2003,02,-0.40920000000000006,1.4007045370098579
2003,03,-1.1755,1.317077699555598
2003,04,0.7278,2.6971669766627353
2003,05,-0.8144,0.8858777003627533
2003,06,0.2682,0.7524823585971967
2003,07,-0.082,1.2976494133624845
2003,08,-0.34639999999999993,1.5155681442944096
2003,09,-0.6688000000000001,1.1133443761927393
2003,10,0.2981999999999999,3.1755605331972494
2003,11,1.8321999999999998,1.5933551707011213
2003,12,-1.0982,1.9787457390983816
2003,13,0.6716,1.2839144441901102
2003,14,0.05199999999999998,0.40995426574192395
2003,15,0.5677499999999999,2.0841926294531095
2003,16,0.06400000000000002,1.8594854126881448
2003,17,0.6784,0.8832433413278584
2003,18,-0.019200000000000016,1.8237390712489547
2003,19,0.9753999999999999,1.4086034928254296
2003,20,-0.20439999999999997,1.7409993681790927
2003,21,0.44625,0.6353987593105084
2003,22,0.6073999999999999,0.8152437058941331
2003,23,0.19359999999999997,2.0059294105227132
2003,24,0.09819999999999998,1.5885355520100897
2003,25,-0.7288,1.928034932256156
2003,26,0.1905,0.48533871334014417
2003,27,-0.45640000000000003,0.44019007258228804
2003,28,-0.22360000000000008,1.5059785191031112
2003,29,0.7744,1.1249805776101203
2003,30,-0.3926,0.6265064245480648
2003,31,0.14020000000000002,0.770022532137859
2003,32,0.485,0.7622384797423967
2003,33,-0.3112,0.8678762584608476
2003,34,-0.34640000000000004,0.9598053448486313
2003,35,0.62925,0.49285723084885347
2003,36,0.1996,1.1807962567691346
2003,37,0.4901999999999999,1.1261395117835091
2003,38,-0.21479999999999996,0.9034307942504506
2003,39,0.6914,1.742339748728703
2003,40,0.15820000000000004,0.8391562429011655
2003,41,0.24079999999999996,0.8535556220891524
2003,42,-0.278,0.6000820777193734
2003,43,0.38099999999999995,0.9394426539177364
2003,44,-0.04019999999999999,0.585209107926389
2003,45,0.198,1.0979574217609716
2003,46,-0.10140000000000002,1.4642620325611124
2003,47,0.533,0.842553658034114
2003,48,0.19419999999999996,1.1953669729417824
2003,49,0.1888,0.6955952127494841
2003,50,1.0111999999999999,1.861970381074844
2003,51,0.32175,0.16985950076460254
2003,52,0.652,0.7676118810961695
2004,00,-0.064,0.0
2004,01,0.375,1.139874554501503
2004,02,-0.35459999999999997,0.4922949319259746
2004,03,0.12550000000000006,1.8862079242048935
2004,04,-0.18980000000000002,0.7978406482500124
2004,05,0.3234,0.8367217578143883
2004,06,0.2942,0.9712616537267391
2004,07,0.40425,2.0331219630574715
2004,08,0.013200000000000012,0.5212347839505724
2004,09,0.11699999999999997,1.2503505508456418
2004,10,-0.8394,1.3887427047513157
2004,11,-0.13120000000000004,1.5885111582862743
2004,12,-0.16239999999999996,1.1591526215300554
2004,13,0.7554000000000001,0.585743373842163
2004,14,0.125,0.2692594783228005
2004,15,-0.07459999999999996,1.7667663399555698
2004,16,-0.009599999999999987,0.8269001148869192
2004,17,-0.5138,1.0101099940105533
2004,18,-0.029199999999999983,1.5262125343476904
2004,19,-0.26620000000000005,1.1480710779389924
2004,20,0.11800000000000002,0.5139688706526885
2004,21,0.592,0.8824228011559991
2004,22,0.314,0.4491488246301738
2004,23,0.37800000000000006,1.4070110163037104
2004,24,-0.04,1.495567617996592
2004,25,-0.12079999999999998,0.7489070035725398
2004,26,-0.3696,0.9648104995282752
2004,27,0.3025,1.160043821011373
2004,28,-0.2072,1.1118694617624858
2004,29,-0.4022,0.8599908139044277
2004,30,0.21800000000000003,0.5306236896332466
2004,31,-0.16199999999999998,0.903735857427379
2004,32,-0.023800000000000023,0.719714318323597
2004,33,0.1924,0.48477757786432324
2004,34,0.1406,0.6530702871820153
2004,35,0.002200000000000024,0.7600017763137136
2004,36,0.43875,0.5183128881283968
2004,37,0.06280000000000001,0.546692509551759
2004,38,0.05380000000000003,1.0555617935488193
2004,39,0.30920000000000003,0.9117459624259381
2004,40,0.15739999999999998,0.1629257499599127
2004,41,-0.10640000000000001,0.6656431476399347
2004,42,0.0738,0.6028417702847074
2004,43,0.24059999999999998,0.4187132670456
2004,44,0.8548,0.3433550640372149
2004,45,0.2082,0.989853625542686
2004,46,-0.3064,0.3394588340285166
2004,47,0.5269999999999999,0.42787459221910645
2004,48,0.48340000000000005,1.1348291941962014
2004,49,-0.48580000000000007,0.571374833187462
2004,50,0.383,1.0159335608198008
2004,51,0.202,0.5063621892150585
2004,52,0.1676,0.522963956693002
2005,01,-0.466,0.8170642569590226
2005,02,-0.2814,0.869717942783751
2005,03,-0.07100000000000001,0.4067030038410503
2005,04,0.3678,0.7063060243265663
2005,05,0.3832,0.6492050523524905
2005,06,0.26639999999999997,0.6083710216635898
2005,07,0.4464,0.6190802048200217
2005,08,0.028749999999999998,0.7474237419295697
2005,09,0.1848,0.9851039031493074
2005,10,-0.26539999999999997,0.49191340701387676
2005,11,-0.1822,0.4664216976085053
2005,12,-0.5277499999999999,1.1444732048705495
2005,13,-0.01020000000000001,0.46593314971141514
2005,14,0.386,0.5193356332854505
2005,15,-0.5344,0.9982921916953974
2005,16,0.11920000000000001,1.3888670562728456
2005,17,-0.10660000000000003,1.0855833915457622
2005,18,0.3578,0.8659484395736272
2005,19,-0.5202,0.4524369569343335
2005,20,0.08080000000000001,0.7315956533495808
2005,21,0.11340000000000001,0.597615511846873
2005,22,-0.222,0.6732790407154129
2005,23,0.1698,0.6338175605014427
2005,24,0.37839999999999996,0.6746171506862244
2005,25,-0.2084,0.33292236332214153
